mission_name,launch_date,astronaut_name,astronaut_dob,launch_vehicle,command_module,lunar_module,duration,remarks,wiki_page
Apollo 1,1967-02-21,Gus Grissom,1926-04-03,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 1,1967-02-21,Ed White,1930-11-14,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 1,1967-02-21,Roger B. Chaffee,1967-01-27,Saturn IB (AS-204),"","",,"Never launched. On January 27, 1967, a fire in the command module during a launch pad test killed the crew and destroyed the module. This flight was originally designated AS-204, and was renamed to Apollo 1 at the request of the crew's families.",https://en.wikipedia.org/wiki/Apollo_1
Apollo 7,1968-10-11,Wally Schirra,1923-05-12,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 7,1968-10-11,Donn F. Eisele,1930-06-23,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 7,1968-10-11,Walter Cunningham,1932-05-16,Saturn IB (AS-205),"","",10 days 20:09:03,Test flight of Block II CSM in Earth orbit; included first live TV broadcast from American spacecraft.,https://en.wikipedia.org/wiki/Apollo_7
Apollo 8,1968-12-21,Frank Borman,1928-05-14,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 8,1968-12-21,James Lovell,1928-05-25,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 8,1968-12-21,William Anders,1933-10-17,Saturn V (AS-503),"","",6 days 03:00:42,"First circumlunar flight of CSM, had ten lunar orbits in 20 hours. First crewed flight of Saturn V.",https://en.wikipedia.org/wiki/Apollo_8
Apollo 9,1969-03-03,James McDivitt,1929-06-10,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 9,1969-03-03,David Scott,1932-06-06,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 9,1969-03-03,Rusty Schweickart,1935-10-25,Saturn V (AS-504),Gumdrop,Spider,10 days 01:00:54,"First crewed flight test of Lunar Module; tested propulsion, rendezvous and docking in Earth orbit. EVA tested the Portable Life Support System (PLSS).",https://en.wikipedia.org/wiki/Apollo_9
Apollo 10,1969-05-18,Thomas P. Stafford,1930-09-17,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,"""Dress rehearsal"" for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.",https://en.wikipedia.org/wiki/Apollo_10
Apollo 10,1969-05-18,John Young,1930-09-24,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,"""Dress rehearsal"" for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.",https://en.wikipedia.org/wiki/Apollo_10
Apollo 10,1969-05-18,Eugene Cernan,1934-05-14,Saturn V (AS-505),Charlie Brown,Snoopy,8 days 00:03:23,"""Dress rehearsal"" for lunar landing. The LM descended to 8.4 nautical miles (15.6 km) from lunar surface.",https://en.wikipedia.org/wiki/Apollo_10
Apollo 11,1969-07-16,Neil Armstrong,1930-08-05,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 11,1969-07-16,Michael Collins,1930-10-31,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 11,1969-07-16,"Edwin ""Buzz"" Aldrin",1930-01-20,Saturn V (AS-506),Columbia,Eagle,8 days 03:18:35,First crewed landing in Sea of Tranquility (Tranquility Base) including a single surface EVA.,https://en.wikipedia.org/wiki/Apollo_11
Apollo 12,1969-11-14,Charles (Pete) Conrad,1930-06-02,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
Apollo 12,1969-11-14,Richard F. Gordon Jr.,1929-09-05,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
Apollo 12,1969-11-14,Alan Bean,1932-05-15,Saturn V (AS-507),Yankee Clipper,Intrepid,10 days 04:36:24,First precise Moon landing in Ocean of Storms near Surveyor 3 probe. Two surface EVAs and returned parts of Surveyor to Earth.,https://en.wikipedia.org/wiki/Apollo_12
Apollo 13,1970-04-11,James Lovell,1928-05-25,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,"Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as ""lifeboat"" for safe crew return. First S-IVB stage impact on Moon for active seismic test.",https://en.wikipedia.org/wiki/Apollo_13
Apollo 13,1970-04-11,Jack Swigert,1931-08-30,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,"Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as ""lifeboat"" for safe crew return. First S-IVB stage impact on Moon for active seismic test.",https://en.wikipedia.org/wiki/Apollo_13
Apollo 13,1970-04-11,Fred Haise,1933-11-14,Saturn V (AS-508),Odyssey,Aquarius,5 days 22:54:41,"Intended Fra Mauro landing cancelled after SM oxygen tank exploded. LM used as ""lifeboat"" for safe crew return. First S-IVB stage impact on Moon for active seismic test.",https://en.wikipedia.org/wiki/Apollo_13
Apollo 14,1971-01-31,Alan Shepard,1923-11-18,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 14,1971-01-31,Stuart Roosa,1933-08-16,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 14,1971-01-31,Edgar Mitchell,1930-09-17,Saturn V (AS-509),Kitty Hawk,Antares,9 days 00:01:58,Successful Fra Mauro landing. Broadcast first color TV images from lunar surface (other than a few moments at the start of the Apollo 12 moonwalk.) Conducted first materials science experiments in space. Conducted two surface EVAs.,https://en.wikipedia.org/wiki/Apollo_14
Apollo 15,1971-07-26,David Scott,1932-07-06,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 15,1971-07-26,Alfred Worden,1932-02-07,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 15,1971-07-26,James Irwin,1930-05-17,Saturn V (AS-510),Endeavour,Falcon,12 days 07:11:53,"Landing at Hadley-Apennine. First extended LM, three-day lunar stay. First use of Lunar Roving Vehicle. Conducted three lunar surface EVAs and one deep space EVA on return to retrieve orbital camera film from SM.",https://en.wikipedia.org/wiki/Apollo_15
Apollo 16,1972-04-16,John Young,1930-09-24,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 16,1972-04-16,Ken Mattingly,1936-05-17,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 16,1972-04-16,Charles Duke,1935-10-03,Saturn V (AS-511),Casper,Orion,11 days 01:51:05,Landing in Descartes Highlands. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_16
Apollo 17,1972-12-07,Eugene Cernan,1934-05-14,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
Apollo 17,1972-12-07,Ronald Evans,1933-11-10,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
Apollo 17,1972-12-07,Harrison Schmitt,1935-07-03,Saturn V (AS-512),America,Challenger,12 days 13:51:59,Landing at Taurus-Littrow. First professional geologist on the Moon. First night launch. Conducted three lunar EVAs and one deep space EVA.,https://en.wikipedia.org/wiki/Apollo_17
